id,text,intent,resolution,escalate
1,My card was charged twice for one purchase,refund_or_charge,Please DM the order number so Support can review and correct duplicate billing.,false
2,I need a refund for an app I bought,refund_or_charge,Please request a refund through reportaproblem.apple.com and DM if you need help.,false
3,Why is there an unknown charge on my statement,refund_or_charge,Please DM the transaction details so Support can investigate the charge securely.,true
4,My payment failed but the money disappeared,refund_or_charge,Please DM the order details so Support can check the authorization and settlement.,false
5,I was billed after cancelling,refund_or_charge,Please DM the subscription receipt so Support can review the billing history.,false
6,Can you explain this invoice,refund_or_charge,Please DM the invoice or order number so Support can review the charge.,false
7,Apple took my money and I got nothing,refund_or_charge,Please DM the order number so Support can investigate the purchase.,false
8,How do I get money back for a mistaken purchase,refund_or_charge,Please request a refund through reportaproblem.apple.com and DM if needed.,false
9,There is a charge I do not recognize,refund_or_charge,Please DM the transaction details so Support can investigate securely.,true
10,My credit card payment is not going through,refund_or_charge,Please check your payment method and DM the order details if the issue continues.,false
11,Please refund my recent purchase,refund_or_charge,Please request a refund through reportaproblem.apple.com and DM if needed.,false
12,I see two invoices for one order,refund_or_charge,Please DM the order number so Support can review duplicate billing.,false
13,The renewal charged the wrong amount,refund_or_charge,Please DM the receipt so Support can review the subscription billing.,false
14,Can Apple reverse this payment,refund_or_charge,Please request a refund through reportaproblem.apple.com and DM if needed.,false
15,My account has an unexpected payment,refund_or_charge,Please DM the transaction details so Support can investigate securely.,true
16,The store charged me but the order failed,refund_or_charge,Please DM the order details so Support can check the authorization.,false
17,Where can I find my receipt,refund_or_charge,Please DM the order number if you need Support to locate the receipt.,false
18,I want to dispute a charge,refund_or_charge,Please DM the transaction details so Support can investigate securely.,true
19,The payment is pending for days,refund_or_charge,Please DM the order details so Support can check the payment status.,false
20,Why did my purchase cost more,refund_or_charge,Please DM the receipt so Support can review the charge.,false
21,My order has not arrived yet,delivery_or_order,Please send us your order number by DM so Support can check the delivery status.,false
22,Where is my package,delivery_or_order,Please send us your order number by DM so Support can check the delivery status.,false
23,Can I get tracking for my shipment,delivery_or_order,Please send us your order number by DM so Support can check the delivery status.,false
24,The delivery is late,delivery_or_order,Please send us your order number by DM so Support can check the delivery status.,false
25,My order says delivered but I do not have it,delivery_or_order,Please send us your order number by DM so Support can investigate the delivery.,false
26,I need to change the shipping address,delivery_or_order,Please DM the order number quickly so Support can check whether the address can be changed.,false
27,When will my new iPhone arrive,delivery_or_order,Please send us your order number by DM so Support can check the delivery status.,false
28,My package tracking has stopped updating,delivery_or_order,Please send us your order number by DM so Support can check the shipment.,false
29,The wrong item was delivered,delivery_or_order,Please DM the order number and a description so Support can investigate.,false
30,Can I cancel an order before it ships,delivery_or_order,Please DM the order number so Support can check the cancellation status.,false
31,My delivery is missing,delivery_or_order,Please send us your order number by DM so Support can investigate the delivery.,false
32,The courier left my order somewhere else,delivery_or_order,Please DM the order number so Support can investigate the delivery.,false
33,I ordered last week and have no update,delivery_or_order,Please send us your order number by DM so Support can check the shipment.,false
34,How do I track my Apple order,delivery_or_order,Please send us your order number by DM so Support can provide the status.,false
35,My shipment was returned,delivery_or_order,Please DM the order number so Support can investigate and advise next steps.,false
36,The delivery address is wrong,delivery_or_order,Please DM the order number so Support can check available options.,false
