id,tweet_id,text,historical_reply,intent,resolution,escalate,label_notes
1,92681,@AppleSupport I’m glad I figured it out too. There’s only so many buttons on an iPhone. 😅 It was my Message app.,"@136066 For sure. Do you recall if there were several notifications crowding the lock screen, or just a few message notifications? Meet us in DM so we can provide guidance on trying to prevent this from recurring. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
2,94909,@AppleSupport how do I know what app is requesting my password? This is a bit scary... https://t.co/hCl230xG14,"@136632 This would be a system prompt. Usually, for an email account you have signed into previously on your device. This is not normally a 3rd party app that would be requesting this.",account_access,Guide the customer through the official account-recovery or Apple Support flow for account access help.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
3,38882,"@applesupport My iphone 6s hs crackling sound coming on call and whn I hold phn a little away from mouth, the person cannot hear my voice",@124483 We're here to help! Which version of the iOS is on the iPhone and when did you first notice this issue?,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
4,80004,@115858 what in the fuck is “I.T”???,@133759 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
5,41589,"@AppleSupport At the apple store in Paris, can I buy an iPad by paying half in cash and half in credit card?",@125147 Let's help get you into the right hands. Please reach out to us via: https://t.co/8yjRd1Xo0i and we can go from there.,refund_or_charge,Direct the customer to the official Apple Support contact channel for case-specific assistance.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
6,143537,@148430 @148431 @115858 yo i updated and i still see the “! a in a square”,"@148429 We'd like to see if we can help. Do you see this when you're typing or in existing posts? Let us know in DM, and we'll continue from there. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
7,35284,@AppleSupport These question mark boxes are about to make me mad lol please help,@123690 We'd be happy to see how we can help. Which device and OS version are you experiencing this on?,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
8,206466,"@AppleSupport my iphone is able to find my mac, but my mac still cannot find my iphone on airdrop.","@164888 For our next steps, let's pair up in DM to dig a bit deeper. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
9,40487,@124881 @AppleSupport Bec I’m having the same issue!,@124880 We're here for you. Please DM us the version of iOS you're using and we can go from there together. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
10,45589,@AppleSupport @126095 I️ need help with this issue to,"@126096 Meet us in DM. Let us know your iOS version, and we'll see what we can do to help. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
